詞	頻次	碼（各式，短→長）
就是	664963	iqby iomxqbfy
一個	635391	iyo iyoto
但是	567022	ybiby ybibfy
這個	559659	izyo iozyoto
所以	531858	rrtlqy
可以	483983	iojlqy
我們	479209	jkqypp jkxqypp
如果	448056	ljobt
自己	444292	jdiz
的時候	429078	jabank jbabfancyk
還是	419427	mzby miojzbfy
都是	383549	fpby fjbpbfy
沒有	347575	wxxd wsxxd
或者	316870	ioqfjb ioxqfjb
也是	305905	plby plbfy
他們	305176	ylypp yplypp
很多	303301	jkaa jyekaa
什麼	295927	ytrg ytrttg
現在	283910	edlxf edjlxf
需要	281927	mmij miijmihlj
這種	278588	izjtf izjtjbf iozjtjbf
然後	272554	dmjx dkqmjygx
這些	268736	iztli iztlci ioztlci
一些	260081	itli itlci
對於	258188	naisq naisaq nvveaisaq
之後	253997	qzjx qzjygx
比如	252143	ccljo
而且	250274	jmue
呵呵	250099	oojooj
其實	245931	hevqv hevquotv
那麼	236939	cprg cijprttg
還有	235076	mzxd miojzxd
公司	234244	vgco
的話	222801	jaioo jbaiojto
選擇	216102	zzzkmf zzhvzkmevf
不是	213981	jqby jqbfy
最後	212671	bnxjx bnexjx bnexjygx
已經	209044	clgmi clgmlli
通過	205273	puzoz puhzoz puhzouoz
以及	201551	lqyjx
回覆日期	199709	ooihxbhed ooihjyxbhevd
開始	195561	pphljo pphljgo
可能	195401	iojgc iojgdcc
雖然	195165	oofdm oogyfdm oogyfdkqm
遊戲	190700	iszroq isypzrovxq
進行	187596	yizjj yifzjj yifzjyij
工作	177744	ijiyki
學習	177616	fijib fijijib fxxfijijib
當然	176920	wutdm wuootdm wuootdkqm
一樣	175106	itk itveqk
中國	174824	qoq qooxq
產品	174020	ixfooo ixrjfooo
怎麼	173763	kiwrg kiwrttg
問題	171932	ppobfv ppobfyjv
真的	169887	tuvja tuevja tuevjba
不過	169774	jqoz jqouoz
這是	168655	izby iozbfy
直接	167731	tuikij tueikivlj
大家	167401	iyqk iyqujk
專業	165885	ibanvr ibganvvhr
比較	165124	ccibx ccibtix
如何	164630	ljoyoj
一下	161487	if
你的	159646	ymja ysmjba
甚至	158377	helgf hevlgf
我的	158176	jkqja jkxqjba
來說	157832	tyyiol tyyiovol
只有	157451	ovxd
內容	152208	uyquo uyquvyo
使用	152166	yoxuh
之前	148413	qzvdn
這樣	146876	iztk ioztveqk
回答	146762	ooaao ooaaao
知道	145224	ykovz ykovjdz
只是	145013	ovby ovbfy
他的	144754	ylja ypljba
時候	144150	bank bfancyk
老師	142562	fjcjbm
各種	142524	xojtf xojtjbf
其他	141365	hevyl hevypl
同時	139189	uoba uobfa
一般	138040	ijux ijuinx
能力	137141	gccj gdcccj
看到	136086	jign jijdigfn
除了	133824	pymp pyimp
時間	130635	bappb bfappb
設計	130054	ioxiot ionxiot
非常	129032	jeewum jeewuom
結果	128974	gmobt gmfobt
數據	128574	bqxkrk bqljxkrjk
東西	126783	tbihi
發現	125666	axedl axedjl ajqsxedjl
方式	124842	isiiq
後來	123568	jxtyy jygxtyy
中的	122902	qja qjba
哈哈	122324	oaooao
美國	122057	vekoq vekooxq
因此	121514	oktlc
當時	121452	wutba wuootba wuootbfa
能夠	121192	gcaao gcaaso gdccaaso
這裏	120204	izik iozibfjk
以上	120185	lqyjii
這樣的	119107	iztkja ioztveqkjba
關於	118727	pphisq ppgghisaq
那些	118325	cptli cptlci cijptlci
那個	118070	cpyo cijpyoto
裏面	117698	ikjoi ikjoni ibfjkjoni
目前	117345	divdn
技術	116496	ktxjyj ktxjytqj
學生	114814	fijhi fxxfijhi
一種	114649	ijtf ijtjbf
基本	114170	heftji hevftjri
影響	113623	biegqb biomegqegb
推薦	113080	kyfhrm kyifhrhsm
並且	112978	vnvue
等等	110760	aaaaaa aafaaafa
今天	110731	ajixr
所有	110184	rrtxd
用戶	109383	uhqr
項目	109307	ijvdi ijdvdi
要求	109014	ijikq ihljikq
不同	106844	jquo
兩個	106330	myyyo myyyoto
以後	106103	lqyjx lqyjygx
存在	104597	xpixf
不能	104301	jqgc jqgdcc
孩子	104042	piypi pigypi
建議	103828	ehzioq ehzioveq
電影	103460	milbie miiblbiome
同學	103089	uofi uofxxfi
根據	102983	tekkrk tekkrjk
個人	102677	yoy yotoy
而是	102286	jmby jmbfy
一點	102014	ivo ivfmto
另外	101601	ocjaq
首先	101593	vjijfl vjdijfjl
部分	101065	ivpvp ivopvp
畢竟	100312	bhhivl bhhivbjl
作品	100104	ykiooo
包括	100006	szkjo szkjto
多明尼加	100000	aabdrccjo
筲箕灣	100000	aadaavwis aawdaahevwiogs
多哥	100000	aaioj aaiotoj
